Status,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Application_mode,Debtor,Gender,Course,Curricular_units_2nd_sem_enrolled,Mothers_qualification,Admission_grade,Displaced,Curricular_units_2nd_sem_evaluations,Marital_status,Previous_qualification_grade,Mothers_occupation,Curricular_units_2nd_sem_without_evaluations,GDP,Age_grouped,Admission_grade_grouped,Curricular_units_2nd_sem_grade_grouped,Previous_qualification_grade_grouped
Graduate,5,13.285714285714286,1,1,20,1 - 1st phase - general contingent,0,0,9147 - Management,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,112.6,1,7,1 – single,121.0,3 - Intermediate Level Technicians and Professions,0,2.02,17-20,111-120,12-15,121-130
Graduate,5,11.8,1,0,41,39 - Over 23 years old,0,0,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,117.2,0,6,1 – single,133.1,9 - Unskilled Workers,1,0.32,41-50,111-120,9-12,131-140
Enrolled,7,12.6375,1,0,32,7 - Holders of other higher courses,0,0,9500 - Nursing,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,130.0,1,8,4 – divorced,130.0,3 - Intermediate Level Technicians and Professions,0,1.79,31-40,131-140,12-15,131-140
Graduate,7,14.652857142857142,1,0,18,17 - 2nd phase - general contingent,0,0,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,131.8,1,8,1 – single,139.0,9 - Unskilled Workers,0,1.74,17-20,131-140,12-15,131-140
Graduate,6,11.333333333333334,1,1,35,39 - Over 23 years old,0,0,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,97.0,0,6,4 – divorced,160.0,3 - Intermediate Level Technicians and Professions,0,-4.06,31-40,<=100,9-12,161-170
Dropout,0,0.0,0,0,32,39 - Over 23 years old,1,0,9500 - Nursing,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,130.0,0,7,1 – single,110.0,9 - Unskilled Workers,0,-0.92,31-40,131-140,0-3,111-120
Graduate,8,14.75,1,0,37,39 - Over 23 years old,0,0,8014 - Social Service (evening attendance),8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,148.0,0,8,1 – single,140.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.79,31-40,141-150,12-15,141-150
Dropout,7,11.142857142857142,1,0,30,39 - Over 23 years old,0,0,9147 - Management,8,3 - Higher Education - Degree,103.4,0,12,2 – married,130.0,9 - Unskilled Workers,0,-1.7,26-30,101-110,9-12,131-140
Graduate,5,13.0,1,0,23,43 - Change of course,0,1,9773 - Journalism and Communication,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,127.1,0,11,1 – single,132.0,0 - Student,0,0.32,21-25,121-130,12-15,131-140
Dropout,6,13.857142857142858,1,1,20,17 - 2nd phase - general contingent,0,0,9773 - Journalism and Communication,6,3 - Higher Education - Degree,124.0,1,7,1 – single,139.0,2 - Specialists in Intellectual and Scientific Activities,0,-4.06,17-20,121-130,12-15,131-140
Graduate,4,11.75,1,0,21,1 - 1st phase - general contingent,0,1,9670 - Advertising and Marketing Management,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,121.4,0,6,1 – single,135.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,21-25,121-130,9-12,131-140
Graduate,5,13.2,1,0,19,1 - 1st phase - general contingent,0,1,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,118.1,0,5,1 – single,117.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.79,17-20,111-120,12-15,111-120
Graduate,7,15.07,1,1,18,17 - 2nd phase - general contingent,0,1,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,121.3,1,8,1 – single,137.0,4 - Administrative staff,0,1.74,17-20,121-130,15-18,131-140
Dropout,1,12.0,1,0,18,42 - Transfer,0,1,9119 - Informatics Engineering,5,34 - Unknown,119.5,0,7,1 – single,144.0,0 - Student,0,1.74,17-20,111-120,12-15,141-150
Enrolled,5,12.666666666666666,1,0,24,39 - Over 23 years old,0,1,9991 - Management (evening attendance),5,1 - Secondary Education - 12th Year of Schooling or Eq.,115.2,0,6,1 – single,130.0,4 - Administrative staff,0,1.79,21-25,111-120,12-15,131-140
Graduate,4,12.6,1,0,22,18 - 3rd phase - general contingent,0,1,9670 - Advertising and Marketing Management,6,1 - Secondary Education - 12th Year of Schooling or Eq.,130.2,1,11,1 – single,140.0,9 - Unskilled Workers,0,-1.7,21-25,131-140,12-15,141-150
Dropout,3,11.25,1,0,18,17 - 2nd phase - general contingent,0,1,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,130.0,1,7,1 – single,130.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-0.92,17-20,131-140,9-12,131-140
Graduate,5,12.166666666666666,1,0,18,16 - 1st phase - special contingent (Madeira Island),0,0,9238 - Social Service,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,126.9,1,11,1 – single,130.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,121-130,12-15,131-140
Graduate,5,14.2,1,0,21,1 - 1st phase - general contingent,0,1,9070 - Communication Design,6,2 - Higher Education - Bachelor's Degree,168.5,1,6,1 – single,152.0,9 - Unskilled Workers,0,-0.92,21-25,161-170,12-15,151-160
Dropout,2,10.0,1,0,38,39 - Over 23 years old,1,0,9500 - Nursing,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,130.0,0,14,4 – divorced,133.1,9 - Unskilled Workers,0,-0.92,31-40,131-140,9-12,131-140
Graduate,8,12.5125,1,1,19,18 - 3rd phase - general contingent,0,0,9556 - Oral Hygiene,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,122.8,0,11,1 – single,140.0,9 - Unskilled Workers,0,-1.7,17-20,121-130,12-15,141-150
Dropout,3,12.333333333333334,1,0,36,39 - Over 23 years old,0,0,9500 - Nursing,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,110.0,0,14,Others,133.1,9 - Unskilled Workers,0,-0.92,31-40,111-120,12-15,131-140
Graduate,4,10.5,1,0,18,16 - 1st phase - special contingent (Madeira Island),0,0,9085 - Veterinary Nursing,5,1 - Secondary Education - 12th Year of Schooling or Eq.,127.1,1,10,1 – single,140.0,9 - Unskilled Workers,0,-1.7,17-20,121-130,9-12,141-150
Graduate,6,11.9,1,0,19,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,108.5,1,12,1 – single,133.1,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.79,17-20,101-110,9-12,131-140
Dropout,5,13.2,0,0,21,53 - Short cycle diploma holders,1,0,9085 - Veterinary Nursing,9,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,138.2,0,17,1 – single,140.0,9 - Unskilled Workers,0,3.51,21-25,131-140,12-15,141-150
Enrolled,6,11.933333333333332,1,0,19,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,96.0,1,11,1 – single,133.1,Others,0,2.02,17-20,<=100,9-12,131-140
Graduate,6,12.285714285714286,1,1,18,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,124.5,0,8,1 – single,135.0,9 - Unskilled Workers,0,-0.92,17-20,121-130,12-15,131-140
Enrolled,10,12.96818181818182,1,0,45,7 - Holders of other higher courses,0,0,9500 - Nursing,10,37 - Basic education 1st cycle (4th/5th year) or equiv.,120.0,1,12,2 – married,120.0,9 - Unskilled Workers,0,0.79,41-50,121-130,12-15,121-130
Dropout,1,11.0,1,0,20,17 - 2nd phase - general contingent,0,0,9147 - Management,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,132.3,1,10,1 – single,140.0,9 - Unskilled Workers,0,0.32,17-20,131-140,9-12,141-150
Graduate,4,11.5,1,0,18,17 - 2nd phase - general contingent,1,0,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,120.7,1,10,1 – single,128.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.79,17-20,121-130,9-12,121-130
Graduate,6,13.142857142857142,1,1,18,1 - 1st phase - general contingent,0,0,9670 - Advertising and Marketing Management,6,1 - Secondary Education - 12th Year of Schooling or Eq.,132.6,0,7,1 – single,141.0,4 - Administrative staff,0,2.02,17-20,131-140,12-15,141-150
Dropout,0,0.0,1,0,25,7 - Holders of other higher courses,0,0,9130 - Equinculture,5,34 - Unknown,140.0,0,9,1 – single,140.0,0 - Student,3,1.74,21-25,141-150,0-3,141-150
Graduate,7,12.04142857142857,1,0,19,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,124.5,1,9,1 – single,139.0,4 - Administrative staff,0,1.74,17-20,121-130,12-15,131-140
Graduate,0,0.0,1,1,18,1 - 1st phase - general contingent,0,0,171 - Animation and Multimedia Design,0,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,142.0,1,0,1 – single,142.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,0.79,17-20,141-150,0-3,141-150
Graduate,12,14.583333333333334,1,0,39,7 - Holders of other higher courses,0,0,9254 - Tourism,12,1 - Secondary Education - 12th Year of Schooling or Eq.,130.0,0,16,1 – single,130.0,3 - Intermediate Level Technicians and Professions,0,0.79,31-40,131-140,12-15,131-140
Graduate,13,15.307692307692308,1,0,29,39 - Over 23 years old,0,0,9003 - Agronomy,13,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,144.0,0,13,2 – married,130.0,9 - Unskilled Workers,0,-4.06,26-30,141-150,15-18,131-140
Enrolled,7,12.714285714285714,1,0,18,17 - 2nd phase - general contingent,0,0,9853 - Basic Education,7,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,128.5,1,8,1 – single,125.0,4 - Administrative staff,0,0.79,17-20,121-130,12-15,121-130
Dropout,0,0.0,0,0,23,7 - Holders of other higher courses,0,0,9070 - Communication Design,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,140.0,0,0,1 – single,140.0,9 - Unskilled Workers,0,1.74,21-25,141-150,0-3,141-150
Dropout,3,10.333333333333334,1,0,21,42 - Transfer,0,0,9853 - Basic Education,6,1 - Secondary Education - 12th Year of Schooling or Eq.,113.9,1,13,1 – single,120.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-1.7,21-25,111-120,9-12,121-130
Graduate,6,15.166666666666666,0,0,18,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,1 - Secondary Education - 12th Year of Schooling or Eq.,137.2,0,6,1 – single,147.0,4 - Administrative staff,0,1.74,17-20,131-140,15-18,141-150
Graduate,6,16.375,1,0,23,7 - Holders of other higher courses,0,0,9085 - Veterinary Nursing,6,1 - Secondary Education - 12th Year of Schooling or Eq.,140.0,1,8,1 – single,140.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.79,21-25,141-150,15-18,141-150
Graduate,6,14.714285714285714,1,0,18,1 - 1st phase - general contingent,0,0,9130 - Equinculture,6,1 - Secondary Education - 12th Year of Schooling or Eq.,152.3,0,7,1 – single,161.0,4 - Administrative staff,0,2.02,17-20,151-160,12-15,161-170
Graduate,6,12.166666666666666,1,0,32,39 - Over 23 years old,0,0,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,112.5,0,7,2 – married,133.1,4 - Administrative staff,0,-3.12,31-40,111-120,12-15,131-140
Dropout,2,14.8,0,0,29,39 - Over 23 years old,1,0,9147 - Management,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,101.0,0,14,2 – married,150.0,9 - Unskilled Workers,0,1.74,26-30,101-110,12-15,151-160
Graduate,4,11.75,1,1,20,1 - 1st phase - general contingent,1,0,9238 - Social Service,6,1 - Secondary Education - 12th Year of Schooling or Eq.,112.3,1,8,1 – single,113.0,Others,0,3.51,17-20,111-120,9-12,111-120
Dropout,0,0.0,0,0,28,39 - Over 23 years old,0,0,9238 - Social Service,6,34 - Unknown,114.0,1,12,1 – single,140.0,0 - Student,0,-3.12,26-30,111-120,0-3,141-150
Graduate,4,13.625,1,0,27,7 - Holders of other higher courses,0,0,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,130.0,0,11,1 – single,130.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,1.74,26-30,131-140,12-15,131-140
Graduate,12,12.333333333333334,1,0,22,43 - Change of course,1,0,9500 - Nursing,14,37 - Basic education 1st cycle (4th/5th year) or equiv.,121.5,0,14,1 – single,120.0,90 - Other Situation,2,0.32,21-25,121-130,12-15,121-130
Enrolled,6,12.9,1,0,37,39 - Over 23 years old,1,0,9003 - Agronomy,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,120.0,0,12,2 – married,133.1,9 - Unskilled Workers,0,-0.92,31-40,121-130,12-15,131-140
Dropout,0,0.0,0,0,28,7 - Holders of other higher courses,0,0,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,130.0,0,0,1 – single,130.0,0 - Student,0,-1.7,26-30,131-140,0-3,131-140
Dropout,4,10.5,0,0,43,39 - Over 23 years old,1,0,9003 - Agronomy,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,125.7,0,13,2 – married,120.0,9 - Unskilled Workers,0,3.51,41-50,121-130,9-12,121-130
Dropout,0,0.0,0,0,32,43 - Change of course,0,0,9556 - Oral Hygiene,8,37 - Basic education 1st cycle (4th/5th year) or equiv.,128.0,1,8,1 – single,140.0,9 - Unskilled Workers,7,1.74,31-40,121-130,0-3,141-150
Enrolled,5,11.5,1,1,20,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,1 - Secondary Education - 12th Year of Schooling or Eq.,113.2,0,13,1 – single,123.0,9 - Unskilled Workers,0,-4.06,17-20,111-120,9-12,121-130
Graduate,8,13.63,1,1,35,39 - Over 23 years old,0,0,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,120.0,0,9,4 – divorced,133.1,9 - Unskilled Workers,1,-3.12,31-40,121-130,12-15,131-140
Graduate,4,11.5,1,0,21,1 - 1st phase - general contingent,0,0,9670 - Advertising and Marketing Management,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,117.8,1,7,1 – single,130.0,0 - Student,1,0.32,21-25,111-120,9-12,131-140
Enrolled,7,12.228571428571428,1,1,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,7,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,121.3,1,7,1 – single,126.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,1.79,17-20,121-130,12-15,121-130
Graduate,8,16.37777777777778,1,1,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,3 - Higher Education - Degree,169.7,0,9,1 – single,176.0,3 - Intermediate Level Technicians and Professions,0,-0.92,17-20,161-170,15-18,>170
Graduate,4,12.0,1,0,18,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,117.7,1,11,1 – single,124.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-0.92,17-20,111-120,12-15,121-130
Graduate,6,13.285714285714286,1,0,22,44 - Technological specialization diploma holders,0,0,8014 - Social Service (evening attendance),6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,121.8,1,7,1 – single,120.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,1.79,21-25,121-130,12-15,121-130
Graduate,7,12.764285714285714,1,0,19,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,128.3,1,8,1 – single,140.0,4 - Administrative staff,0,1.74,17-20,121-130,12-15,141-150
Graduate,5,12.166666666666666,1,1,18,18 - 3rd phase - general contingent,0,0,9147 - Management,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,132.2,1,6,1 – single,143.0,9 - Unskilled Workers,0,0.79,17-20,131-140,12-15,141-150
Dropout,0,0.0,1,0,19,1 - 1st phase - general contingent,1,0,171 - Animation and Multimedia Design,0,Others,134.3,1,0,1 – single,136.0,3 - Intermediate Level Technicians and Professions,0,1.79,17-20,131-140,0-3,131-140
Graduate,8,15.68333333333333,1,1,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,123.4,0,9,1 – single,132.0,9 - Unskilled Workers,0,2.02,17-20,121-130,15-18,131-140
Dropout,0,0.0,0,0,31,39 - Over 23 years old,1,0,9991 - Management (evening attendance),5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,121.7,0,7,2 – married,133.1,"5 - Personal Services, Security and Safety Workers and Sellers",0,-0.92,31-40,121-130,0-3,131-140
Graduate,6,12.5,1,1,33,39 - Over 23 years old,1,0,8014 - Social Service (evening attendance),6,1 - Secondary Education - 12th Year of Schooling or Eq.,130.0,0,7,2 – married,100.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,-3.12,31-40,131-140,12-15,101-110
Graduate,8,13.57625,1,1,19,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,126.5,1,8,1 – single,137.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-3.12,17-20,121-130,12-15,131-140
Graduate,6,15.833333333333334,1,1,18,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,159.7,1,6,1 – single,153.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-1.7,17-20,151-160,15-18,151-160
Graduate,5,11.6,1,0,23,1 - 1st phase - general contingent,0,0,9147 - Management,5,Others,151.3,0,8,1 – single,160.0,4 - Administrative staff,0,0.32,21-25,151-160,9-12,161-170
Graduate,6,12.0,1,0,20,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,138.0,1,6,1 – single,145.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,131-140,12-15,141-150
Graduate,8,13.76375,1,0,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,126.5,1,8,1 – single,137.0,4 - Administrative staff,0,-3.12,17-20,121-130,12-15,131-140
Enrolled,5,12.2,1,0,21,53 - Short cycle diploma holders,1,0,9085 - Veterinary Nursing,9,1 - Secondary Education - 12th Year of Schooling or Eq.,140.0,1,14,1 – single,140.0,4 - Administrative staff,0,3.51,21-25,141-150,12-15,141-150
Graduate,5,12.2,1,1,22,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,112.3,0,10,1 – single,120.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-1.7,21-25,111-120,12-15,121-130
Graduate,6,11.666666666666666,1,0,20,1 - 1st phase - general contingent,1,0,9238 - Social Service,6,1 - Secondary Education - 12th Year of Schooling or Eq.,127.3,1,7,1 – single,122.0,4 - Administrative staff,0,-3.12,17-20,121-130,9-12,121-130
Graduate,6,14.357142857142858,1,0,23,7 - Holders of other higher courses,0,0,9500 - Nursing,7,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,130.0,1,8,1 – single,130.0,4 - Administrative staff,0,0.32,21-25,131-140,12-15,131-140
Graduate,6,12.666666666666666,1,0,19,17 - 2nd phase - general contingent,0,0,9773 - Journalism and Communication,6,3 - Higher Education - Degree,115.0,1,6,1 – single,133.1,4 - Administrative staff,0,-0.92,17-20,111-120,12-15,131-140
Graduate,7,13.925714285714283,1,0,19,17 - 2nd phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,131.5,1,8,1 – single,150.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,1.74,17-20,131-140,12-15,151-160
Dropout,3,11.0,1,0,26,39 - Over 23 years old,0,0,9991 - Management (evening attendance),5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,125.7,0,9,1 – single,133.1,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,1.74,26-30,121-130,9-12,131-140
Graduate,8,13.744444444444444,1,0,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,126.8,1,9,1 – single,141.0,4 - Administrative staff,0,-0.92,17-20,121-130,12-15,141-150
Dropout,0,0.0,1,0,18,18 - 3rd phase - general contingent,0,1,9119 - Informatics Engineering,5,1 - Secondary Education - 12th Year of Schooling or Eq.,132.4,1,5,1 – single,146.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-3.12,17-20,131-140,0-3,141-150
Graduate,6,13.2,1,0,20,44 - Technological specialization diploma holders,0,1,9003 - Agronomy,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,150.0,1,10,1 – single,150.0,9 - Unskilled Workers,0,-0.92,17-20,151-160,12-15,151-160
Dropout,0,0.0,1,0,19,1 - 1st phase - general contingent,0,1,9670 - Advertising and Marketing Management,6,3 - Higher Education - Degree,95.0,0,6,1 – single,133.1,4 - Administrative staff,0,-4.06,17-20,<=100,0-3,131-140
Dropout,4,11.0,0,0,32,43 - Change of course,0,1,9991 - Management (evening attendance),4,37 - Basic education 1st cycle (4th/5th year) or equiv.,128.2,0,4,1 – single,120.0,9 - Unskilled Workers,0,1.74,31-40,121-130,9-12,121-130
Dropout,3,11.666666666666666,0,0,31,39 - Over 23 years old,0,1,9130 - Equinculture,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,130.0,0,9,2 – married,150.0,4 - Administrative staff,0,-3.12,31-40,131-140,9-12,151-160
Enrolled,1,10.0,1,0,25,39 - Over 23 years old,0,1,9119 - Informatics Engineering,5,1 - Secondary Education - 12th Year of Schooling or Eq.,100.0,0,11,1 – single,133.1,4 - Administrative staff,0,0.79,21-25,101-110,9-12,131-140
Graduate,5,13.0,1,0,21,42 - Transfer,0,0,9085 - Veterinary Nursing,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,159.9,1,10,1 – single,140.0,9 - Unskilled Workers,0,-0.92,21-25,151-160,12-15,141-150
Dropout,1,10.0,0,0,31,43 - Change of course,0,0,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,100.0,0,6,2 – married,140.0,4 - Administrative staff,0,-1.7,31-40,101-110,9-12,141-150
Dropout,1,13.0,1,0,34,39 - Over 23 years old,0,0,9853 - Basic Education,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,116.5,0,7,2 – married,133.1,"5 - Personal Services, Security and Safety Workers and Sellers",0,-0.92,31-40,111-120,12-15,131-140
Graduate,6,12.833333333333334,1,1,18,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,120.0,0,9,1 – single,128.0,9 - Unskilled Workers,0,2.02,17-20,121-130,12-15,121-130
Dropout,0,0.0,1,0,19,1 - 1st phase - general contingent,1,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,117.0,1,0,1 – single,117.0,9 - Unskilled Workers,0,1.79,17-20,111-120,0-3,111-120
Enrolled,1,11.0,1,0,21,53 - Short cycle diploma holders,1,0,9670 - Advertising and Marketing Management,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,140.0,1,11,1 – single,140.0,3 - Intermediate Level Technicians and Professions,0,3.51,21-25,141-150,9-12,141-150
Dropout,5,11.8,0,0,18,1 - 1st phase - general contingent,0,0,9853 - Basic Education,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,118.1,1,10,1 – single,124.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,111-120,9-12,121-130
Graduate,6,16.0,1,0,20,1 - 1st phase - general contingent,0,0,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,153.5,1,6,1 – single,158.0,4 - Administrative staff,0,2.02,17-20,151-160,15-18,151-160
Graduate,6,12.857142857142858,1,0,20,43 - Change of course,0,0,9773 - Journalism and Communication,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,127.9,1,7,1 – single,137.0,9 - Unskilled Workers,0,-4.06,17-20,121-130,12-15,131-140
Graduate,5,12.333333333333334,1,1,18,17 - 2nd phase - general contingent,0,0,9670 - Advertising and Marketing Management,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,118.8,1,11,1 – single,123.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,2.02,17-20,111-120,12-15,121-130
Graduate,6,11.333333333333334,1,0,19,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,126.7,1,7,1 – single,126.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,0.32,17-20,121-130,9-12,121-130
Enrolled,4,14.75,1,0,19,43 - Change of course,0,0,9085 - Veterinary Nursing,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,170.0,1,7,1 – single,170.0,"5 - Personal Services, Security and Safety Workers and Sellers",1,-1.7,17-20,>170,12-15,>170
Dropout,1,10.0,1,1,30,39 - Over 23 years old,0,0,9130 - Equinculture,6,3 - Higher Education - Degree,110.0,1,16,4 – divorced,133.1,"5 - Personal Services, Security and Safety Workers and Sellers",0,2.02,26-30,111-120,9-12,131-140
Graduate,6,12.857142857142858,1,0,19,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,115.0,1,7,1 – single,115.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,2.02,17-20,111-120,12-15,111-120
Graduate,8,13.8,1,0,19,1 - 1st phase - general contingent,0,0,9556 - Oral Hygiene,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,119.0,1,8,1 – single,132.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-1.7,17-20,111-120,12-15,131-140
Graduate,7,13.6,1,1,19,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,121.8,1,8,1 – single,132.0,4 - Administrative staff,0,-1.7,17-20,121-130,12-15,131-140
Graduate,6,15.875,1,0,19,1 - 1st phase - general contingent,0,0,9085 - Veterinary Nursing,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133.4,1,8,1 – single,143.0,9 - Unskilled Workers,0,1.79,17-20,131-140,15-18,141-150
Graduate,6,11.5,1,0,20,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,1 - Secondary Education - 12th Year of Schooling or Eq.,131.4,1,7,1 – single,137.0,3 - Intermediate Level Technicians and Professions,0,0.32,17-20,131-140,9-12,131-140
Dropout,2,14.0,1,0,25,42 - Transfer,1,1,9119 - Informatics Engineering,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,135.0,0,7,1 – single,130.0,9 - Unskilled Workers,0,0.79,21-25,131-140,12-15,131-140
